"Descrizione","Tipo","Chiuso","Indirizzo","Cap","Citta","Prov.","lat","long"
"ALMDIELE RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","LOCALITA' MAURLECHENFELD, 2",39030,"VALLE AURINA","BZ",46.9525199834968,11.9182299691803
"ALPENBLICK BAR PIZZERIA","RISTORANTE / PIZZERIA","MAR","V. STAZIONE, 24",39025,"PLAUS","BZ",46.6562199996115,11.0414099744714
"ALPENROSE BAR RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAR","VIA SAN GIACOMO, 91",39055,"LAIVES","BZ",46.4598400129284,11.3328100234889
"ALPENROSE RISTORANTE","RISTORANTE / PIZZERIA","MAI","LOCALITA' VILLA, 7",39037,"RODENGO","BZ",46.7790000032536,11.6917500233705
"ALPING BAR","BAR TAVOLA CALDA","MAI","VIA VALLE AURINA, 8",39031,"BRUNICO","BZ",46.8095799939751,11.9362799785735
"ALTER SCHLACHTHOF BAR RISTORANTE","MARKET CON GASTR./SUPERMERCATO","MAI","VICOLO MACELLO, 4",39042,"BRESSANONE","BZ",46.7173599902156,11.6583799904484
"ALUMIX RISTORANTE","RISTORANTE","MAI","VIA ALESSANDRO VOLTA, 9",39100,"BOLZANO","BZ",46.4791299991678,11.33337001844
"AM BRUNNER HOTEL RISTORANTE","RISTORANTE / PIZZERIA","MAI","FRAZIONE SCIAVES, 6",39040,"NAZ-SCIAVES","BZ",46.7517299841865,11.6801199650765
"AM RATHAUS RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","XXX","VIA MUNICIPIO, 1",39025,"NATURNO","BZ",46.6509600200928,11.0049200295494
"AMBA ALAGI BAR","BAR TAVOLA FREDDA","DOM","VIA CESARE BATTISTI, 3",39100,"BOLZANO","BZ",46.5002199991142,11.3417800009911
"AMERICAN BISTROT PUB","BAR TAVOLA CALDA","MAI","VIALE EUROPA, 140",39100,"BOLZANO","BZ",46.4928899828777,11.3254699908781
"AMICI ALEXANDER BAR","BAR TAVOLA FREDDA","DOM","VIA CESARE BATTISTI, 25",39100,"BOLZANO","BZ",46.5004899802154,11.3382499624688
"ANDREAS HOFER HOTEL RISTORANTE","RISTORANTE / PIZZERIA","MAI","FRAZIONE RASUN DI SOPRA, 73",39030,"RASUN ANTERSELVA","BZ",46.7922499900648,12.0562199838721
"ANDREAS HOFER RISTORANTE","RISTORANTE / PIZZERIA","SAB","VIA CAMPO TURES, 1",39031,"BRUNICO","BZ",46.8014300180606,11.93818996285
"ANDY BAR","BAR TAVOLA FREDDA","MAI","V.LE EUROPA, 12",39100,"BOLZANO","BZ",46.4927199978813,11.3319399819393
"ANGOLO MORETTI RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA TORINO, 1",39100,"BOLZANO","BZ",46.4917500021363,11.3413200021448
"ANGOLO MORETTI RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA TORINO, 1",39100,"BOLZANO","BZ",46.4917500021363,11.3413200021448
"ANGOLO 40 BAR","BAR TAVOLA FREDDA","MAI","V. C. AUGUSTA, 40/B",39100,"BOLZANO","BZ",46.4876350000001,11.3436766670001
"ANITA BAR RISTORANTE","RISTORANTE","MAI","PIAZZA DELLE ERBE, 5",39100,"BOLZANO","BZ",46.5001599846874,11.353269997683
"ANMOL PIZZA KEBAB","TAKE AWAY / PIZZ. ASPORTO","MAR","V. MERCATO VECCHIO, 28",39042,"BRESSANONE","BZ",46.7186300161847,11.6569399794829
"ANNA & ROBBY RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA GALILEO GALILEI, 38",39100,"BOLZANO","BZ",46.4857400099215,11.3329400268071
"ANNA E ROBY","RISTORANTE","MAI","VIA GALILEO GALILEI, 38",39100,"BOLZANO","BZ",46.4857400099215,11.3329400268071
"ANNY RISTORANTE","RISTORANTE","XXX","VIA PALADE, 29",39020,"MARLENGO","BZ",46.6539399962192,11.1466600239029
"AQUARIUM BAR","BAR TAVOLA CALDA","DOM","PIAZZA MERCATO, 23",39043,"CHIUSA","BZ",46.6443300185,11.5710900125891
"AR SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","DOM","VIA KIRCHDORF, 83",39030,"PREDOI","BZ",47.0383800086744,12.1031599827591
"ARENA BAR RISTORANTE","RISTORANTE / PIZZERIA","MAI","STRADA ZABERBACH, 15",39054,"RENON","BZ",46.5382600093904,11.4547399764204
