"Descrizione","Tipo","Chiuso","Indirizzo","Cap","Citta","Prov.","lat","long"
"BLACK & WHITE BAR RISTORANTE","RISTORANTE","DOM","V.LE RATISBONA, 14",39042,"BRESSANONE","BZ",46.715450005939,11.6546399852515
"BLITZBURG HOTEL RISTORANTE","RISTORANTE","MAI","VIA EUROPA, 10",39031,"BRUNICO","BZ",46.7951500028349,11.9319399967473
"BLONDY BAR","BAR TAVOLA FREDDA","DOM","C.SO LIBERTA', 31",39100,"BOLZANO","BZ",46.5013000073383,11.3415199943546
"BLUBAR","BAR TAVOLA CALDA","XXX","VIA SAN VIGILIO, 52",39100,"BOLZANO","BZ",46.4867600037189,11.3487300236471
"BLUMAU RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","XXX","VIA ROMA, 45",39012,"MERANO","BZ",46.6645200115929,11.1614900413721
"BOLOGNA HOTEL RISTORANTE","RISTORANTE / PIZZERIA","DOM","VIA LEONARDO DA VINCI, 1",39031,"BRUNICO","BZ",46.7947099948277,11.9353999625591
"BOLZANO CHIOSCO BAR","BAR TAVOLA FREDDA","XXX","PIAZZA DELLA STAZIONE, 12",39100,"BOLZANO","BZ",46.4969399927635,11.3589499943699
"BOLZANO UNITED BAR","BAR TAVOLA FREDDA","MAI","VIA DELLA MENDOLA, 21",39100,"BOLZANO","BZ",46.4997799911069,11.3391500112317
"BOTTEGA DEL CAFFE' DERSUT","BAR TAVOLA CALDA","DOM","VIA RATISBONA, 6",39042,"BRESSANONE","BZ",46.7157600106279,11.6546799669297
"BOTTEGA LIBERA DEI SAPORI E DEI SAPERI BAR","BAR TAVOLA FREDDA","DOM","CORSO DELLA LIBERTA', 16",39100,"BOLZANO","BZ",46.5038600082061,11.3339099806426
"BOULEVARD RISTORANTE","RISTORANTE","DOM","VIA JULIUS DURST, 44",39042,"BRESSANONE","BZ",46.6954600050558,11.6453899683642
"BRASSERIE 1857 BAR","BAR TAVOLA CALDA","S&D","PIAZZA FIERA, 1",39100,"BOLZANO","BZ",46.4725699864666,11.3256600086231
"BRAUGARTEN FORST RISTORANTE","RISTORANTE","MAI","VIA VAL VENOSTA, 9",39022,"LAGUNDO","BZ",46.6774942143263,11.1195403632788
"BRAUHAUS HOTEL MARTINERHOF RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA DEL GIOVO, 15",39010,"SAN MARTINO IN PASSIRIA","BZ",46.7863000122767,11.2307300098383
"BREAK BY EDO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DO","VIA BASTIONI MAGGIORI, 25",39042,"BRESSANONE","BZ",46.7169900130094,11.6557100190109
"BREAK STATION","BAR TAVOLA CALDA","MAI","VIA VITTORIO VENETO, 26",39042,"BRESSANONE","BZ",46.7096200150948,11.6515100149678
"BRENNERPUB","BAR TAVOLA FREDDA","MAI","V. RENON, 29",39100,"BOLZANO","BZ",46.4984699834597,11.3611599669611
"BRIGITTE CAFE'","BAR TAVOLA FREDDA","MAR","VIA CALDARO, 6",39057,"APPIANO SULLA STRADA DEL VINO","BZ",46.445109991564,11.2609099742309
"BRIMI SHOP BAR","BAR TAVOLA FREDDA","DOM","VIA KONRAD LECHNER, 4",39040,"VARNA","BZ",46.7307445563172,11.6519211710433
"BRIXENHOF RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","XXX","VIA PLOSE, 2",39042,"BRESSANONE","BZ",46.7128799886968,11.661330001271
"BRIXNA BISTRO' BAR","BAR TAVOLA CALDA","DOM","VIA BRENNERO, 58",39042,"BRESSANONE","BZ",46.7274300086905,11.6530999781811
"BRUGGENWURT RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAP","VIA JOSEF ANTON ZOLLER, 14",39030,"VANDOIES","BZ",46.8158900164142,11.7199999707378
"BRUNNER PLATZ RISTORANTE","RISTORANTE / PIZZERIA","XXX","VIA DANTE ALIGHIERI, 2",39012,"MERANO","BZ",46.6689200078458,11.1739199846862
"BRUNNERHOF HOTEL RISTORANTE","RISTORANTE / PIZZERIA","MAI","FRAZIONE RASUN DI SOTTO, 104",39030,"RASUN ANTERSELVA","BZ",46.7764700095991,12.0446800310373
"BRUNNERHOF RISTORANTE BAR ALBERGO","RISTORANTE / PIZZERIA","DOM","VIA GRIES, 19",39043,"CHIUSA","BZ",46.6455899861853,11.5843999719175
"BUFFET BOLZANO SNACK BAR","BAR TAVOLA FREDDA","XXX","PIAZZA DELLA STAZIONE, 12",39100,"BOLZANO","BZ",46.4969399927635,11.3589499943699
"BUFFET DELLA STAZIONERANTE PIZZERIA BAR","BAR TAVOLA FREDDA","MAI","VIA KARL VON ETZEL, 7",39041,"BRENNERO","BZ",47.0028500012135,11.5051100177249
"BUON APPETITO INTERNAZIONALE MENSA","MENSA RISERVATA","MAI","VIA PETER ANICH, 5",39011,"LANA","BZ",46.628779995548,11.1698499839613
"BUONGUSTAIO GASTRONOMIA","GASTRONOMIA/ROSTICCERIA","DO","VIA PALERMO, 61",39100,"BOLZANO","BZ",46.4902700094927,11.3320699852575
"BURGER KING SOUTH FAST FOOD","FAST FOOD","MAI","PIAZZA DOMENICANI, 4",39100,"BOLZANO","BZ",46.4973600099317,11.3524499960954
"BURGERSTUBE MENSA","MENSA RISERVATA","MAI","LOCALITA' TELFEN-LANZIN, 59",39040,"CASTELROTTO","BZ",46.5569099954129,11.5531900392627
"BUSCHENHANS TRATTORIA","TRATTORIA","LUN","VIA PRINCIPALE, 24",39018,"TERLANO","BZ",46.5303300165247,11.2477399926855
"BYBLO'S  RISTORANTE","RISTORANTE / PIZZERIA","XXX","VIA MERCATO VECCHIO, 23",39042,"BRESSANONE","BZ",46.7184799801179,11.6564399989585
"CA' BIANCA TRATTORIA RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA JOHN FITZGERALD KENNEDY, 202",39055,"LAIVES","BZ",46.4254299953698,11.3352299627546
"CAFE'  MUHLBACH RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAR","VIA MOLINI, 5",39010,"ANDRIANO","BZ",46.6404699844497,11.1418100032684
"CAFE' BISTRO CAPUCCINO","BAR TAVOLA CALDA","DOM","V. MADONNA DEL SUFFRAGIO, 16",39011,"LANA","BZ",46.6165199811001,11.1451363574618
"CAFE' BRENNPUNKT RISTORANTE","RISTORANTE / PIZZERIA","XXX","VIA BRENNERO, 7",39100,"BOLZANO","BZ",46.5007600032262,11.361210006923
"CAFE' CITY BAR","BAR TAVOLA CALDA","MAI","VIA BASTIONI MAGGIORI, 20",39042,"BRESSANONE","BZ",46.7171599980058,11.6556400301194
"CAFE' DEL MAR","BAR TAVOLA FREDDA","DOM","V. MENDOLA, 21/A",39100,"BOLZANO","BZ",46.4999299852643,11.3390500151268
"CAFE ERIKA BAR","BAR TAVOLA FREDDA","XXX","VIA PARROCCHIA, 2",39032,"CAMPO TURES","BZ",46.9095799964432,11.9487499873846
"CAFE' FRIEDA BAR","BAR TAVOLA CALDA","DOM","VIA DANTE ALIGHIERI, 66",39042,"BRESSANONE","BZ",46.7211999915173,11.6501000112156
"CAFE IM RATHAUS","BAR TAVOLA CALDA","MAI","VIA MUNICIPIO, 1",39031,"BRUNICO","BZ",46.7965499902128,11.9356000385879
"CAFE' IMBISS MARION","BAR TAVOLA CALDA","LUN","VIA KAMPIDELL, 1/A",39050,"SAN GENESIO ATESINO","BZ",46.58699000561,11.2974699918635
"CAFE' MASCHIN BAR","BAR TAVOLA CALDA","DOM","VIA LAURIN, 2",39100,"BOLZANO","BZ",46.4984100109425,11.3568299595997
"CAFE MUSEION BAR","BAR TAVOLA CALDA","MAI","PIAZZA PIERO SIENA, 3",39100,"BOLZANO","BZ",46.4974100079841,11.3482000359093
"CAFE NIESSING","BAR TAVOLA CALDA","XXX","VIA CATINACCIO, 1",39100,"BOLZANO","BZ",46.4994800027923,11.3595900364963
"CAFE' PALAIS BAR","BAR TAVOLA CALDA","MAI","PIAZZA DELLA RENA, 10",39012,"MERANO","BZ",46.6703399860628,11.1653000354605
"CAFE PICHLER BAR","BAR TAVOLA CALDA","XXX","VIA OTTONE HUBER, 82",39012,"MERANO","BZ",46.6567650000001,11.1786332720001
"CAFE' PREROMAN","BAR TAVOLA CALDA","DO","VIA PREROMAN, 2",39030,"SAN MARTINO IN BADIA","BZ",46.6747530709174,11.9019131666179
"CAFE' RAIFFEISEN","BAR TAVOLA FREDDA","XXX","VIA RAIFFEISEN, 2",39100,"BOLZANO","BZ",46.4982600167851,11.3597200398146
"CAFE RAIFFEISEN","BAR TAVOLA CALDA","DOM","VIA RAIFFEISEN, 4",39100,"BOLZANO","BZ",46.4979700029353,11.3597399887441
"CAFE' RESTAUR.GRUNER","RISTORANTE / PIZZERIA","GIO","FRAZIONE CERTOSA, 24",39020,"SENALES","BZ",46.7050799991493,10.9101900229744
"CAFE ROYAL BAR TF","BAR TAVOLA CALDA","DOM","VIA VITTORIO VENETO, 15",39100,"BOLZANO","BZ",46.5025300097198,11.3316499680894
"CAFE THEIS BAR","BAR TAVOLA CALDA","LUP","VIA PASSIRIA, 19",39015,"SAN LEONARDO IN PASSIRIA","BZ",46.8123000053746,11.2470100127379
"CAFE' TIEFENBRUN","BAR TAVOLA FREDDA","DOM","VIA MAINARDO, 10",39012,"MERANO","BZ",46.6726100149903,11.1585199978009
"CAFE' WALTER","RISTORANTE / PIZZERIA","LUN","PIAZZA VON FERRARI, 8",39051,"BRONZOLO","BZ",46.4036999952065,11.322500031126
"CAFE'CAPPUCCINO BAR","BAR TAVOLA CALDA","DOM","VIA HOFMAN, 4",39011,"LANA","BZ",46.6170499830586,11.1453400417908
"CAFE'ULTNER BAR","BAR TAVOLA FREDDA","MAI","FRAZIONE SANTA VALBURGA, 114",39016,"ULTIMO","BZ",46.548300020652,11.0047499607339
"CAFFE' AL VOLO BAR","BAR TAVOLA CALDA","DOM","VIA LUIGI GALVANI, 29",39100,"BOLZANO","BZ",46.4719799843021,11.3311700203136
"CAFFE ALL'ANGOLO BAR","BAR TAVOLA CALDA","DOM","VIA PIANI D' ISARCO, 9/A",39100,"BOLZANO","BZ",46.4985999867779,11.3670500141415
"CAFFE' BRISTO 2000 BAR","BAR TAVOLA FREDDA","MAI","VIALE AMEDEO DUCA D'AOSTA, 91",39100,"BOLZANO","BZ",46.4964199794905,11.3393999595844
"CAFFE EPULARIO","BAR TAVOLA CALDA","MAI","VIA DELLA RENA, 1",39100,"BOLZANO","BZ",46.4984400181558,11.3567400217786
"CAFFE' HEISS BAR","BAR TAVOLA FREDDA","MAR","VIA PLOSE, 26",39042,"BRESSANONE","BZ",46.7093400176192,11.661520019016
"CAFFE IRIS BAR","BAR TAVOLA CALDA","S&D","VIA CASSA DI RISPARMIO, 1",39100,"BOLZANO","BZ",46.5012300184468,11.3501299691154
"CAFFE' PASSION","BAR TAVOLA FREDDA","MAI","GALLERIA RAFFAELLO SERNESI, 27",39100,"BOLZANO","BZ",46.4985199815121,11.3513300061931
"CAFFE' PASTICCERIA ZINGERLE  RISTORANTE","RISTORANTE","MAI","VIALE DRUSO, 49",39100,"BOLZANO","BZ",46.4949099796335,11.3397100061829
"CAFFE PLATZL PIZZERIA","RISTORANTE / PIZZERIA","SAB","VIA SANTA CROCE, 4",39031,"BRUNICO","BZ",46.7952600153141,11.9257300123226
"CAFFE' RAIFFEISEN ONOTHEK","BAR TAVOLA FREDDA","DOM","V. RAIFFEISEN, 4",39100,"BOLZANO","BZ",46.4979700029353,11.3597399887441
"CAFFE' REAL BAR","BAR TAVOLA CALDA","DOM","VIALE DUCA AMEDEO D' AOSTA, 103",39100,"BOLZANO","BZ",46.4960500022844,11.3395899773294
"CAFFE RIZ BAR","BAR TAVOLA CALDA","MAI","PIAZZA DOMENICANI, 38",39100,"BOLZANO","BZ",46.4979299793476,11.3520599861406
"CAFFE' ROSE RISTORANTE","RISTORANTE / PIZZERIA","LUN","VIA STAZIONE, 1",39049,"VIPITENO","BZ",46.8964900201636,11.4323499852011
"CAFFE' ROSMINI","BAR TAVOLA CALDA","MAI","V. ROSMINI, 83",39100,"BOLZANO","BZ",46.4993699903131,11.347740037063
"CAFFE' ROSSI","BAR TAVOLA FREDDA","XXX","VIA CITTA' NUOVA, 27",39049,"VIPITENO","BZ",46.8976400172793,11.4317800157851
"CAFFE' SELTZ BAR","BAR TAVOLA FREDDA","DOM","PASSAGGIO ANTICO MUNICIPIO, 5",39100,"BOLZANO","BZ",46.4876350000001,11.3436766670001
"CAFFE' THEINER","BAR TAVOLA CALDA","MAI","VIA MUSEO, 62",39100,"BOLZANO","BZ",46.5001700010617,11.3483000320142
"CAIPIRA CAFFE' BAR","BAR TAVOLA FREDDA","MAI","VIA CESARE BATTISTI, 78",39100,"BOLZANO","BZ",46.5004499985373,11.3368299842518
"CAMPER E CARAVAN AREA DI SOSTA","BAR TAVOLA CALDA","MAI","VIA PRATO ALLA DRAVA, 1",39038,"SAN CANDIDO","BZ",46.7397700141835,12.3676699643804
"CAMPER E CARAVAN AREA DI SOSTA","BAR TAVOLA CALDA","MAI","VIA DOLOMITI, 20",39034,"DOBBIACO","BZ",46.725660002197,12.2227999997431
"CANCUN BAR RISTORANTE MEXICANO","RISTORANTE","DOM","V. SAN QUIRINO, 35",39100,"BOLZANO","BZ",46.4966500208232,11.3441899657921
"CAPASA BAR BISTRO","BAR TAVOLA CALDA","XXX","VIA MERCATO VECCHIO, 10",39042,"BRESSANONE","BZ",46.7178600126495,11.6569699866963
"CAPOLINEA","BAR TAVOLA FREDDA","LUN","VIA MILANO, 100",39100,"BOLZANO","BZ",46.4900799917476,11.329209996075
"CAPPELLO DI FERRO RISTORANTE","RISTORANTE","MAI","VIA DEI BOTTAI, 21",39100,"BOLZANO","BZ",46.5004899802154,11.3568499923483
"CAPRICCIO BAR RISTORANTE","RISTORANTE","MAI","VIA PLOSE, 35",39042,"BRESSANONE","BZ",46.7080600171853,11.6615800334427
"CARAVAN ARQUIN FREIZEITPARK SRL","UFFICIO","MAI","VIA CHIESA, 17",39011,"LANA","BZ",46.6074599961785,11.1570199724087
"CARDUCCI BAR","BAR TAVOLA CALDA","MAI","VIA GIOSUE' CARDUCCI, 3",39100,"BOLZANO","BZ",46.4970500052427,11.3505400118188
"CAREGNATO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","LOCALITA' STEIN, 24",39025,"NATURNO","BZ",46.6635099922603,11.0433000098184
"CARITAS DIOCESI BOLZANO-BRESSANONE","UFFICIO","S&D","VIA CASSA DI RISPARMIO, 1",39100,"BOLZANO","BZ",46.5012300184468,11.3501299691154
"CARMEN RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA DOGANA, 6",39011,"LANA","BZ",46.6063099990628,11.1626599874174
"CARPE DIEM RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA MAINARDO, 186",39012,"MERANO","BZ",46.6744099867877,11.1499999608612
"CASA KOLPING DI BOLZANO SELF SERVICE","SELF-SERVICE","DO","LARGO ADOLPH KOLPING, 3",39100,"BOLZANO","BZ",46.4975400113024,11.3504599646434
"CASCADE RISTORANTE BAR","RISTORANTE / PIZZERIA","MAI","ZONA INDUSTRIALE, 2",39032,"CAMPO TURES","BZ",46.9115999931989,11.9619600344272
"CASELLO 10 BAR","BAR TAVOLA FREDDA","DOM","VIA DEI VANGA, 35",39100,"BOLZANO","BZ",46.5009200137578,11.3526799955185
"CAVALLINO BIANCO RISTORANTE","RISTORANTE","S&D","LOC. TISO, 77",39040,"FUNES","BZ",46.6526413661384,11.6200619374845
"CAVALLINO BIANCO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MER","DORF, 15",39010,"SAN PANCRAZIO","BZ",46.5874712800952,11.0835621909386
"CAVALLINO TRATTORIA","TRATTORIA","LUN","VIA PAESE, 22",39050,"SAN GENESIO ATESINO","BZ",46.5355629206416,11.33093707875
"CENTRO PIZZA","GASTRONOMIA/ROSTICCERIA","MAI","V. ROMA, 39",39100,"BOLZANO","BZ",46.4925520044067,11.3413440489795
"CESA DA FOUR","RISTORANTE / PIZZERIA","XXX","P.ZA S. DURICH, 4",39046,"ORTISEI","BZ",46.5751599970158,11.6711400131095
"CFP CENTRO DI FORMAZIONE PROFESIONALE MENSA","MENSA","MAI","VIA TOBL, 6",39031,"BRUNICO","BZ",46.7936200121388,11.9340499732336
"CHALET OLYMPIA HOTEL PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA DEL BORGO, 5",39035,"MONGUELFO TESIDO","BZ",46.7678900001421,12.1140299700731
"CHAMPAGNE BAR","BAR TAVOLA FREDDA","DOM","V. AMBA ALAGI, 26/E",39100,"BOLZANO","BZ",46.4985499887255,11.3414800126764
"CHARLY RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","XXX","VIA ENRICO TOTI, 1",39012,"MERANO","BZ",46.6653600040196,11.1584299761608
"CHARRO'S","RISTORANTE","DO","VIA ROMA, 78",39100,"BOLZANO","BZ",46.4905399905939,11.3419100043093
"CHEZ FREDERICH RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA ARMANDO DIAZ, 12",39100,"BOLZANO","BZ",46.5035399871429,11.3415400271032
"CHICCO BAR","BAR TAVOLA FREDDA","MAI","VIA DE LAI, 4",39100,"BOLZANO","BZ",46.4996199805753,11.3593000226465
"CHICKEN HUT TAKE AWAY","BAR TAVOLA FREDDA","MAI","VIA ANTONIO ROSMINI, 83",39100,"BOLZANO","BZ",46.4993699903131,11.347740037063
"CHINA HOUSE RISTORANTE","RISTORANTE","MAI","V. MARCONI, 13",39100,"BOLZANO","BZ",46.4950399829517,11.3512799662311
"CHIOSCO BAZZANA TAKE AWAY","FAST FOOD","XXX","V. DR. JULIUS PERATHONER, 20",39100,"BOLZANO","BZ",46.4971500013476,11.3562699646485
"CHRISTL RIST. PIZZ.","RISTORANTE / PIZZERIA","MAI","V. KERLA, 1/3",39030,"VALDAORA","BZ",46.7617099810213,12.0291300080852
"CHRISTL RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA KERLA, 1",39030,"VALDAORA","BZ",46.7617099810213,12.0291300080852
"CHRISTOMANNOS RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA NIGRA, 2",39056,"NOVA LEVANTE","BZ",46.4079499973021,11.6029200384407
"CIAK BAR","BAR TAVOLA FREDDA","XXX","PIAZZA DELLA VITTORIA, 29",39100,"BOLZANO","BZ",46.5002399899532,11.3432699680995
"CIBUS FOOD  RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA MARIE CURIE, 13",39100,"BOLZANO","BZ",46.4705799969242,11.3254600164133
"CICKENPIZZA TAKE AWAY","TAKE AWAY / PIZZ. ASPORTO","LUN","VIA RESIA, 84",39100,"BOLZANO","BZ",46.4863699937642,11.318809982072
"CIN CAFFE'","BAR TAVOLA CALDA","LUN","C.SO LIBERTA', 1/A",39100,"BOLZANO","BZ",46.50107998238,11.3427699875751
"CIRCOLO TENNIS CLUB BOLZANO","BAR TAVOLA CALDA","LUN","VIA MARTIN KNOLLER, 8",39100,"BOLZANO","BZ",46.5047800058987,11.3335300289716
"CIRCOLO UNIFICATO ESERCITO","RISTORANTE / PIZZERIA","MAI","VIA MAINARDO, 132",39012,"MERANO","BZ",46.6729600013574,11.1558099608663
"CIRCOLO UNIFICATO RISTORANTE","RISTORANTE / PIZZERIA","LUN","VIA MAINARDO, 132",39012,"MERANO","BZ",46.6729600013574,11.1558099608663
"CIRCUS CAFE'","BAR TAVOLA FREDDA","MAI","VIA POSTGRANZ, 16",39012,"MERANO","BZ",46.665509998177,11.14391000529
"CITY BAR E COOK","SELF-SERVICE","XXX","PIAZZA GIUSEPPE VERDI, 48",39100,"BOLZANO","BZ",46.4952300006967,11.354450002012
"CITY BISTROT BAR","BAR TAVOLA CALDA","XXX","PIAZZA GIUSEPPE VERDI, 48",39100,"BOLZANO","BZ",46.4952300006967,11.354450002012
"CITY CHICKEN RISTORANTE","RISTORANTE","MAI","VIA FIRENZE, 9",39100,"BOLZANO","BZ",46.4939699911019,11.3433999714178
"CLARA HOTEL RISTORANTE","RISTORANTE / PIZZERIA","XXX","VIA BRENNERO, 64",39040,"VARNA","BZ",46.7347300177136,11.6461999954871
"CLASSIC LUMINA BAR RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DO","VIA GALILEO GALILEI, 10",39100,"BOLZANO","BZ",46.4866100095616,11.3384699874271
"CLUB BOLZANO","RISTORANTE","LUN","V. MARTIN KNOLLER, 8",39100,"BOLZANO","BZ",46.5047800058987,11.3335300289716
"COFFE TIME BAR ENOTECA","BAR TAVOLA FREDDA","MAI","VIA ROMA, 64",39100,"BOLZANO","BZ",46.4913200105034,11.3415400271032
"COFFEEBREAK","BAR TAVOLA FREDDA","LUN","VIA RESIA, 132",39100,"BOLZANO","BZ",46.4834561924824,11.3185969941351
"COLLER TRATTORIA RISTORANTE","RISTORANTE / PIZZERIA","DOM","VIA PLATZ, 1",39044,"EGNA","BZ",46.3216099824391,11.2727800064128
"COME IN CAFE' BISTRO'","BAR TAVOLA CALDA","MAI","VIA DOTTOR JOSEF WEINGARTNER, 31",39022,"LAGUNDO","BZ",46.6795900029501,11.1336199618567
"CONAD CITY SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","MAI","VIA TIRO A SEGNO, 62",39012,"MERANO","BZ",46.6567650000001,11.1786332720001
"CONAD MARGHERITA  MARKET","MARKET CON GASTR./SUPERMERCATO","DOM","VIA GUGLIELMO MARCONI, 21",39100,"BOLZANO","BZ",46.4949399868468,11.3507499784933
"CONAD SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","MAI","VIA REZIA, 227",39046,"ORTISEI","BZ",46.5725399817212,11.6762099748832
"CONSORZIO BRESSANONE MENSA","MENSA","S&D","VIA JULIUS DURST, 76",39042,"BRESSANONE","BZ",46.6893099931485,11.6425400374655
"COOP ALTO ADIGE SUDTIROL","MARKET CON GASTR./SUPERMERCATO","DOM","VIA DEL MACELLO, 29",39100,"BOLZANO","BZ",46.4937699988921,11.3685500395338
"COOPER BREAD E BISTRO RISTORANTE","RISTORANTE","MAI","VIA DEI BOTTAI, 35",39100,"BOLZANO","BZ",46.4998700127471,11.3569400139884
"COSTABELLA","RISTORANTE / PIZZERIA","XXX","V. MEISULES, 277",39048,"SELVA GARDENA","BZ",46.5526400024782,11.7635799999179
"COSTABELLA RISTORANTE","RISTORANTE / PIZZERIA","MER","STRADA MEISULES, 277",39048,"SELVA DI VAL GARDENA","BZ",46.5526400024782,11.7635799999179
"CRISTALLO BAR","BAR TAVOLA FREDDA","MAI","VIA PALERMO, 103",39100,"BOLZANO","BZ",46.4880099969395,11.3313099980966
"CRISTINA BAR RISTORO","BAR TAVOLA CALDA","DOM","VIA RENON, 7",39100,"BOLZANO","BZ",46.4975200204633,11.3594799821076
"CROCE BIANCA","RISTORANTE","MAR","P.ZA DELLA CHIESA, 2",39050,"FIE' ALLO SCILIAR","BZ",46.5173099872271,11.5026800201753
"CROCE BIANCA ALBERGO","RISTORANTE","LUN","P.ZA CHIESA, 2",39050,"FIE' ALLO SCILIAR","BZ",46.5173099872271,11.5026800201753
"CROCE BIANCA ALBERGO RISTORANTE","RISTORANTE","LUN","VIA PRINCIPALE, 127",39028,"SILANDRO","BZ",46.6279200122822,10.7729599954434
"CROCE BIANCA RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA PRINCIPALE, 127",39028,"SILANDRO","BZ",46.6279200122822,10.7729599954434
"CROCE D'ORO HOTEL RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA SOCREP, 49",39046,"ORTISEI","BZ",46.5758999933377,11.6448400316969
"CROCE D'ORO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","S. LEONARDO, 10",39040,"BARBIANO","BZ",46.5910299991216,11.5256699880239
"CUSANUS LOUNGE BAR","BAR TAVOLA CALDA","MAI","VIA HARTWIG, 9",39042,"BRESSANONE","BZ",46.714810005722,11.6587199604412
"CUTRAUNS TUBE RISTORANTE","RISTORANTE / PIZZERIA","DOM","VIA CUTRAUN, 26",39020,"PARCINES","BZ",46.6675299949327,11.0652799583344
"D. FACE","RISTORANTE / PIZZERIA","MAI","V. LANCIA, 8",39100,"BOLZANO","BZ",46.4849099919595,11.3368500170004
"DA AMEDEO BAR","BAR TAVOLA FREDDA","S&D","V. CESARE BATTISTI, 44",39100,"BOLZANO","BZ",46.5006900143347,11.3376899675176
"DA ANDREA  RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MER","VIA KARL VON ETZEL, 14",39041,"BRENNERO","BZ",47.0022100009966,11.504490008347
"DA ATTILIO RISTORANTE","RISTORANTE / PIZZERIA","DO","STRADA CATARINA LANZ, 49",39030,"MAREBBE","BZ",46.7022070352031,11.9274654234353
"DA CANDIDO BAR TRATTORIA","TRATTORIA","MAI","VIA PLATZ, 1",39044,"EGNA","BZ",46.3216099824391,11.2727800064128
"DA CHEN XI PIZZERIA TAVOLA CALDA","BAR TAVOLA CALDA","LUP","VIA MILANO, 56",39100,"BOLZANO","BZ",46.4898199851112,11.3311400131002
"DA GIGI PIZZERIA D'ASPORTO","RISTORANTE / PIZZERIA","MAI","VIA MILANO, 134",39100,"BOLZANO","BZ",46.4901900042268,11.3280399662108
"DA GIGI RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA VERONA, 27",39100,"BOLZANO","BZ",46.4937699988921,11.3414500054631
"DA GIORGIO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA NEURAUTH, 3",39031,"BRUNICO","BZ",46.7924700150231,11.9477200191224
"DA LIBERO CAFE' RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA ALESSANDRIA, 19",39100,"BOLZANO","BZ",46.486259981285,11.3255399797696
"DA LOCI E MIGUEL","MARKET CON GASTR./SUPERMERCATO","MAI","VIA RESIA, 162",39100,"BOLZANO","BZ",46.4841000067462,11.3202899747157
"DA LUCIANO ROSTICCERIA GASTRONOMIA","GASTRONOMIA/ROSTICCERIA","MAI","VIA NAZIONALE, 1",39040,"SALORNO SULLA STRADA DEL VINO","BZ",46.2502021158353,11.2167035162021
"DA MARCO BAR","BAR TAVOLA CALDA","DOM","PIAZZA SAN MICHELE, 3",39038,"SAN CANDIDO","BZ",46.7326000084787,12.2815200091719
"DA PICCHIO RISTORO BAR TRATTORIA","TRATTORIA","XXX","VIA SAN QUIRINO, 11",39100,"BOLZANO","BZ",46.4994199883656,11.3451500289818
"DA ROLLY BAR","BAR TAVOLA FREDDA","DOM","VIA DEL MACELLO, 63",39100,"BOLZANO","BZ",46.4943299938433,11.3587500021601
"DA SERGIO RISTORANTE BAR PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA SAN QUIRINO, 19",39100,"BOLZANO","BZ",46.4975799929805,11.3446000084954
"DA TONINO PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA SANTA GELTRUDE, 20",39100,"BOLZANO","BZ",46.4873099822958,11.3473200198949
"DA TONY E SERGIO BAR RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","V. ALESSANDRIA, 19",39100,"BOLZANO","BZ",46.486259981285,11.3255399797696
"DAI ROMANI PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA MERCATO VECCHIO, 11",39042,"BRESSANONE","BZ",46.7187300122896,11.6572600005461
"DAL FEUR RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","STRADA PUEZ, 6",39048,"SELVA DI VAL GARDENA","BZ",46.5559500160422,11.7601099758223
